turbine_type,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26
FUHRLÄNDER FL 54 1000,0,,0,,0,,0,,25000,,66000,,111000,,201000,,320000,,446000,,576000,,678000,,810000,,895000,,938000,,1008000,,1030000,,1030000,,1035000,,1032000,,1009000,,1009000,,1009000,,1009000,,1009000,,1009000,0,
FUHRLANDER FL 80 2500,0,0,0,0,0,0,0,0,30000,96290,149290,197000,265900,350710,446110,552120,658130,817140,970850,1160000,1350000,1550000,1730000,1910000,2080000,2230000,2350000,2440000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,0,
FUHRLANDER FL 90 2500,0,0,0,0,0,0,0,0,30000,96290,165190,255300,361310,462010,568020,727030,891340,1080000,1280000,1480000,1690000,1900000,2140000,2290000,2420000,2480000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,0,
FUHRLÄNDER MD 70,0,0,0,0,0,,0,,29000,,97700,,192900,,304400,,493000,,713000,,978000,,1257000,,1456000,,1496000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,,1500000,0,
FUHRLÄNDER MD 77,0,0,0,0,0,0,10000,29800,45580,90470,143290,185540,241000,309700,383680,484120,611020,793470,965340,1050000,1150000,1320000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,,0,,0,,0,,0,,0,,
GAMESA G 52 800,0,0,0,0,0,0,0,0,16600,33150,49700,77100,104500,146950,189400,237500,285600,347150,408700,471350,534000,598000,662000,706500,751000,769500,788000,791000,794000,797000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,0,
GAMESA G 52 850,0,0,0,0,0,0,0,0,27900,46550,65200,94150,123100,163050,203000,255000,307000,371150,435300,499900,564500,624550,684600,732250,779900,810250,840600,844300,848000,848500,849000,849500,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,850000,0,
GAMESA G 58,0,,0,,0,,9700,,33500,,78500,,145300,,236600,,358800,,513100,,669700,,778300,,828100,,844400,,848700,,849700,,849900,,850000,,850000,,850000,,850000,,850000,,850000,,850000,,0,,0,,
GAMESA G 80 2000,0,0,0,0,0,0,0,0,66300,109150,152000,216000,280000,368500,457000,573500,690000,834000,978000,1137000,1296000,1447000,1598000,1708000,1818000,1876500,1935000,1957500,1980000,1987500,1995000,1997000,1999000,1999500,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,0,
GAMESA G 87 2000,0,0,0,0,0,0,0,0,78600,129900,181200,258300,335400,442600,549800,690650,831500,1003150,1174800,1351550,1528300,1661500,1794700,1862900,1931100,1956050,1981000,1988150,1995300,1997100,1998900,1999350,1999800,1999900,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,0,
GAMESA G 90 2000,0,0,0,0,0,0,21300,53100,84900,141100,197300,280550,363800,479350,594900,747850,900800,1087600,1274400,1453700,1633000,1748000,1863000,1911700,1960400,1975400,1990400,1994150,1997900,1998750,1999600,1999750,1999900,1999950,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,,1906000,,1681000,,1455000,,1230000,0,
"GE 1,5 S",0,0,0,0,0,0,0,0,36000,66000,104000,150000,205000,269000,344000,428000,528000,644000,774000,926500,1079000,1211000,1342000,1401000,1460000,1477000,1494000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,0,
